id,completion_date,group,user,job_id,tool,host,duration,queue_time,status,resources1,resources2,resources3,resources4,resources5
44096,16/07/2023 17:56:53,/proj/vm.juser-vlsi,juser-vlsi,6214674,vm_remote_job2,hl-xn121,1m13s,0s,Done,CORES/1,RAM/10000,License:Xcelium_Single_Core#1,License:MM_lpddr4#1,
44097,16/07/2023 17:56:54,/proj/vm.sharonr,sharonr,6214402,vm_remote_job2,hl-xn134,15m52s,30s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44098,16/07/2023 17:56:56,/proj/vm.sharonr,sharonr,6214474,vm_remote_job2,hl-xn134,12m24s,1s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44099,16/07/2023 17:57:06,/proj/vm.sharonr,sharonr,6214543,vm_remote_job2,hl-xn124,8m10s,1m28s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44100,16/07/2023 17:57:09,/proj/vm.sharonr,sharonr,6214529,vm_remote_job2,hl-xn126,9m13s,1m09s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44101,16/07/2023 17:57:09,/proj/vm.sharonr,sharonr,6214523,vm_remote_job2,hl-xn137,9m48s,34s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44102,16/07/2023 17:57:11,/proj/users.evyatarc,evyatarc,6214702,vmanager,hl-xn134,16s,0s,Done,CORES/1,RAM/1536,,,
44103,16/07/2023 17:57:16,/proj/users.sharonr,sharonr,6214709,vm_remote_job2,hl-xn137,17s,0s,Done,linux64,RAM/1024,CORES/1,,
44104,16/07/2023 17:57:24,/proj/vm.sharonr,sharonr,6214713,vm_remote_job2,hl-xn126,14s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44105,16/07/2023 17:57:31,/proj/vm.sharonr,sharonr,6214392,vm_remote_job2,hl-xn134,17m00s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44106,16/07/2023 17:57:43,/proj/vm.yasmineh,yasmineh,6214298,vm_remote_job2,hl-xn134,18m59s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44107,16/07/2023 17:58:09,/proj/vm.yasmineh,yasmineh,6214609,vm_remote_job2,hl-xn137,6m05s,4s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44108,16/07/2023 17:58:18,/proj/vm.sharonr,sharonr,6214503,vm_remote_job2,hl-xn134,12m10s,28s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44109,16/07/2023 17:58:26,/proj/vm.yasmineh,yasmineh,6214067,vm_remote_job2,hl-xn126,36m30s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44110,16/07/2023 17:58:28,/proj/vm.juser-vlsi,juser-vlsi,6214624,vm_remote_job2,hl-xn134,5m40s,0s,Done,CORES/1,RAM/10000,License:Xcelium_Single_Core#1,,
44111,16/07/2023 17:58:31,/proj/vm.juser-vlsi,juser-vlsi,6214694,vm_remote_job2,hl-xn134,1m41s,0s,Done,CORES/1,RAM/10000,License:Xcelium_Single_Core#1,License:VIP_JTAG#1,
44112,16/07/2023 17:58:34,/proj/users.mannyn,mannyn,6214667,xrun,hl-xn137,3m06s,0s,Done,CORES/1,RAM/10000,,,
44113,16/07/2023 17:58:34,/proj/vm.yasmineh,yasmineh,6214643,vm_remote_job2,hl-xn137,4m26s,25s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44114,16/07/2023 17:58:40,/proj/users.moshez,moshez,6214747,vmanager,hl-xn137,0s,0s,Failed,CORES/1,RAM/1536,,,
44115,16/07/2023 17:58:58,/proj/vm.sharonr,sharonr,6214723,vm_remote_job2,hl-xn126,1m31s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44116,16/07/2023 17:59:03,/proj/vm.juser-vlsi,juser-vlsi,6214737,vm_remote_job2,hl-xn134,35s,0s,Done,CORES/1,RAM/1024,License:Xcelium_Single_Core#1,License:MM_lpddr4#1,
44117,16/07/2023 17:59:19,/proj/vm.sharonr,sharonr,6214657,vm_remote_job2,hl-xn137,5m04s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44118,16/07/2023 17:59:38,/proj/vm.juser-vlsi,juser-vlsi,6214611,vm_remote_job2,hl-xn137,7m25s,6s,Done,CORES/1,RAM/10000,License:Xcelium_Single_Core#1,,
44119,16/07/2023 17:59:49,/proj/vm.yasmineh,yasmineh,6214461,vm_remote_job2,hl-xn124,14m26s,2m29s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44120,16/07/2023 17:59:49,/proj/vm.yasmineh,yasmineh,6214556,vm_remote_job2,hl-xn127,8m37s,2m17s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44121,16/07/2023 17:59:56,/proj/vm.evyatarc,evyatarc,6214719,vm_remote_job2,hl-xn137,2m32s,0s,Done,CORES/1,RAM/512,,,
44122,16/07/2023 17:59:59,/proj/vm.sharonr,sharonr,6214665,vm_remote_job2,hl-xn124,4m52s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44123,16/07/2023 18:00:08,/proj/vm.sharonr,sharonr,6214639,vm_remote_job2,hl-xn134,6m26s,28s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44124,16/07/2023 18:00:09,/proj/vm.evyatarc,evyatarc,6214778,vm_remote_job2,hl-xn134,13s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44125,16/07/2023 18:00:10,/proj/vm.evyatarc,evyatarc,6214780,vm_remote_job2,hl-xn137,14s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44126,16/07/2023 18:00:11,/proj/vm.evyatarc,evyatarc,6214774,vm_remote_job2,hl-xn137,15s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44127,16/07/2023 18:00:18,/proj/vm.evyatarc,evyatarc,6214782,vm_remote_job2,hl-xn124,19s,2s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44128,16/07/2023 18:00:18,/proj/vm.yasmineh,yasmineh,6214455,vm_remote_job2,hl-xn121,15m47s,1m56s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44129,16/07/2023 18:00:23,/proj/vm.evyatarc,evyatarc,6214788,vm_remote_job2,hl-xn137,12s,14s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44130,16/07/2023 18:00:24,/proj/vm.evyatarc,evyatarc,6214786,vm_remote_job2,hl-xn137,14s,13s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44131,16/07/2023 18:00:25,/proj/vm.evyatarc,evyatarc,6214784,vm_remote_job2,hl-xn134,16s,12s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44132,16/07/2023 18:00:30,/proj/vm.yasmineh,yasmineh,6214735,vm_remote_job2,hl-xn126,2m03s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44133,16/07/2023 18:00:31,/proj/vm.evyatarc,evyatarc,6214790,vm_remote_job2,hl-xn124,13s,21s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44134,16/07/2023 18:00:38,/proj/vm.sharonr,sharonr,6214571,vm_remote_job2,hl-xn127,10m27s,6s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44135,16/07/2023 18:00:38,/proj/vm.evyatarc,evyatarc,6214794,vm_remote_job2,hl-xn137,14s,26s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44136,16/07/2023 18:00:39,/proj/vm.evyatarc,evyatarc,6214792,vm_remote_job2,hl-xn121,21s,21s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44137,16/07/2023 18:00:39,/proj/vm.evyatarc,evyatarc,6214798,vm_remote_job2,hl-xn134,14s,15s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44138,16/07/2023 18:00:44,/proj/vm.evyatarc,evyatarc,6214802,vm_remote_job2,hl-xn124,13s,20s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44139,16/07/2023 18:00:50,/proj/vm.evyatarc,evyatarc,6214800,vm_remote_job2,hl-xn126,20s,19s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44140,16/07/2023 18:00:52,/proj/vm.evyatarc,evyatarc,6214814,vm_remote_job2,hl-xn121,13s,12s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44141,16/07/2023 18:00:52,/proj/vm.evyatarc,evyatarc,6214812,vm_remote_job2,hl-xn137,14s,15s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44142,16/07/2023 18:00:53,/proj/vm.evyatarc,evyatarc,6214816,vm_remote_job2,hl-xn134,14s,11s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44143,16/07/2023 18:00:56,/proj/vm.evyatarc,evyatarc,6214820,vm_remote_job2,hl-xn124,12s,13s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44144,16/07/2023 18:01:01,/proj/vm.evyatarc,evyatarc,6214806,vm_remote_job2,hl-xn127,23s,20s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44145,16/07/2023 18:01:04,/proj/vm.evyatarc,evyatarc,6214824,vm_remote_job2,hl-xn126,14s,11s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44146,16/07/2023 18:01:05,/proj/vm.evyatarc,evyatarc,6214826,vm_remote_job2,hl-xn121,13s,13s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44147,16/07/2023 18:01:05,/proj/vm.evyatarc,evyatarc,6214828,vm_remote_job2,hl-xn137,13s,9s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44148,16/07/2023 18:01:10,/proj/vm.evyatarc,evyatarc,6214840,vm_remote_job2,hl-xn124,14s,4s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44149,16/07/2023 18:01:10,/proj/vm.evyatarc,evyatarc,6214830,vm_remote_job2,hl-xn134,17s,9s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44150,16/07/2023 18:01:16,/proj/vm.evyatarc,evyatarc,6214842,vm_remote_job2,hl-xn127,15s,7s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44151,16/07/2023 18:01:19,/proj/vm.evyatarc,evyatarc,6214844,vm_remote_job2,hl-xn121,14s,11s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44152,16/07/2023 18:01:21,/proj/users.moshez,moshez,6214852,vmanager,hl-xn126,17s,2s,Done,CORES/1,RAM/1536,,,
44153,16/07/2023 18:01:22,/proj/vm.evyatarc,evyatarc,6214846,vm_remote_job2,hl-xn137,17s,9s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44154,16/07/2023 18:01:23,/proj/vm.evyatarc,evyatarc,6214848,vm_remote_job2,hl-xn124,13s,14s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44155,16/07/2023 18:01:24,/proj/vm.evyatarc,evyatarc,6214850,vm_remote_job2,hl-xn134,14s,9s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44156,16/07/2023 18:01:31,/proj/vm.evyatarc,evyatarc,6214855,vm_remote_job2,hl-xn127,15s,10s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44157,16/07/2023 18:01:32,/proj/vm.evyatarc,evyatarc,6214857,vm_remote_job2,hl-xn121,13s,12s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44158,16/07/2023 18:01:33,/proj/users.mannyn,mannyn,6214550,xrun,hl-xn134,12m45s,20s,Done,CORES/1,RAM/10000,,,
44159,16/07/2023 18:01:34,/proj/vm.evyatarc,evyatarc,6214863,vm_remote_job2,hl-xn124,11s,10s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
